Threshold T,# Optimal Images,% Optimal Images,Mean,Median
1,5,0.0239234449760766,17.6923865878222,16.4094728739225
2,70,0.334928229665072,17.1694749076184,15.9628571481841
3,27,0.129186602870813,17.1189691659226,15.7504171902419
4,37,0.177033492822967,17.2143206755113,15.6815013099299
5,24,0.114832535885167,18.5567901076655,16.9861904695157
6,11,0.0526315789473684,21.9467176104681,20.2369610284417
7,11,0.0526315789473684,25.4143933246805,24.2982247293912
8,5,0.0239234449760766,32.5275492719021,32.9667319682535
9,19,0.0909090909090909,49.3300009674955,53.2972667372978
